nodes,hosts,proc_time
8,2,121.1503696
8,2,123.0168281
16,2,62.60844016
1,1,910.5412042
2,1,492.2372088
4,1,241.3602839
8,1,121.8192348
16,2,62.35792947
2,1,488.8296893
4,1,247.3061426
8,1,123.7449303
16,2,75.23437881
1,1,935.0041196
2,1,483.73364
4,1,243.4245176
8,1,123.5108535
16,2,87.55528927
1,1,945.4869292
2,1,483.1921155
4,1,242.0461991
8,1,124.5806024
16,2,79.48744655
1,1,898.2216384
2,1,483.8737302
4,1,244.404
8,1,123.8351717
16,2,68.28375363
1,1,906.1438141
2,1,483.8045464
4,1,243.579504
8,1,123.2689147
16,2,67.96384168
1,1,913.4272921
2,1,479.4693305
4,1,245.984657
8,1,122.2557285
16,2,72.91391921
1,1,927.7149782
2,1,493.4718204
4,1,243.9454713
8,1,122.9208255
16,2,70.20472217
1,1,912.5747092
2,1,486.5862098
4,1,247.5179684
8,1,126.2323499
16,2,70.78878164
1,1,914.1580777
2,1,489.5258906
4,1,244.2684023
8,1,123.0207443
16,2,71.91184425
1,1,918.7114663
16,4,64.39737844
16,4,63.83729649
16,4,62.75167918
16,4,64.46331906
16,4,65.00810981
16,4,63.49409914
16,4,63.73953915
16,4,63.75352359
16,4,63.08302236
16,4,64.47257757
16,1,65.76910138
16,1,65.60049248
16,1,66.08646989
16,1,66.1382134
16,1,65.27637339
16,1,66.49700737
16,1,66.10135627
