language,count
c++,﻿606864
.net,280415
scala,87125
matlab,82550
ruby-on-rails-3,55964
http,51920
delphi,43408
pointers,42498
asp.net-mvc-4,41681
jquery-ui,38665
pdf,38534
ssl,38073
generics,36824
servlets,31102
logging,30353
css,575590
asp.net,343360
json,256188
sql-server,254342
wordpress,146170
string,136894
windows,127890
mongodb,110635
bash,109015
facebook,83230
csv,59756
google-chrome,56926
android-studio,55765
sql-server-2008,52930
react-native,47459
c#,1289429
python,1120872
vba,140252
macos,90456
list,84582
entity-framework,78336
typescript,75365
maven,66226
powershell,65676
codeigniter,62475
symfony,60921
selenium,60027
web-services,58937
docker,52790
android-layout,51544
java,1519552
sql,480831
angularjs,257270
iphone,219850
asp.net-mvc,178440
angular,155447
database,153798
python-3.x,146674
reactjs,125998
vb.net,122682
forms,93102
azure,67695
unit-testing,62038
perl,61804
loops,61172
html,806983
objective-c,286871
regex,203461
django,191689
xml,180924
xcode,130732
multithreading,113863
pandas,96979
python-2.7,88896
apache,83455
shell,68966
sqlite,64988
cordova,58226
class,58123
numpy,57406
javascript,1769208
ios,591950
r,278153
ajax,196943
wpf,147663
eclipse,115864
oracle,107165
algorithm,89767
performance,81535
amazon-web-services,71473
rest,69272
api,66323
.htaccess,65043
uitableview,59061
sorting,55563
php,1265522
android,1176225
mysql,551664
ruby-on-rails,303555
swift,222930
excel,189244
spring,147769
git,108309
postgresql,96303
twitter-bootstrap,94419
image,92223
visual-studio,85964
excel-vba,83911
css3,78358
hibernate,76244
jquery,945635
c,297410
arrays,289030
node.js,264294
ruby,202677
linux,173474
html5,118978
laravel,109740
winforms,83697
function,72197
qt,69664
firebase,66764
date,54874
sockets,54847
datetime,47400
